tech,wfh,yr,N,prop
Tech,FALSE,2015,26479,0.896165431346668
Tech,FALSE,2016,27473,0.889381676918097
Tech,FALSE,2017,28688,0.88756883856197
Tech,FALSE,2018,29248,0.88445371798361
Tech,FALSE,2019,30063,0.873416618245206
Tech,FALSE,2021,15758,0.433579132731675
Tech,TRUE,2015,3068,0.103834568653332
Tech,TRUE,2016,3417,0.110618323081904
Tech,TRUE,2017,3634,0.11243116143803
Tech,TRUE,2018,3821,0.11554628201639
Tech,TRUE,2019,4357,0.126583381754794
Tech,TRUE,2021,20586,0.566420867268325
Non-tech,FALSE,2015,803725,0.956572916629474
Non-tech,FALSE,2016,803566,0.952718908761093
Non-tech,FALSE,2017,816675,0.950763008633616
Non-tech,FALSE,2018,821181,0.949671562391581
Non-tech,FALSE,2019,818284,0.945990876321673
Non-tech,FALSE,2021,676522,0.813161611365863
Non-tech,TRUE,2015,36488,0.0434270833705263
Non-tech,TRUE,2016,39879,0.0472810912389071
Non-tech,TRUE,2017,42293,0.0492369913663839
Non-tech,TRUE,2018,43519,0.0503284376084191
Non-tech,TRUE,2019,46718,0.0540091236783268
Non-tech,TRUE,2021,155443,0.186838388634137
