date,pushes,location
2019-01-01,327287,Global
2019-01-02,549657,Global
2019-01-03,610334,Global
2019-01-04,594084,Global
2019-01-05,434977,Global
2019-01-06,447116,Global
2019-01-07,641312,Global
2019-01-08,676464,Global
2019-01-09,671228,Global
2019-01-10,674098,Global
2019-01-11,629829,Global
2019-01-12,424735,Global
2019-01-13,449873,Global
2019-01-14,664351,Global
2019-01-15,660459,Global
2019-01-16,671085,Global
2019-01-17,673710,Global
2019-01-18,621327,Global
2019-01-19,417776,Global
2019-01-20,435827,Global
2019-01-21,608974,Global
2019-01-22,667507,Global
2019-01-23,673032,Global
2019-01-24,672684,Global
2019-01-25,620884,Global
2019-01-26,453325,Global
2019-01-27,485328,Global
2019-01-28,655425,Global
2019-01-29,684271,Global
2019-01-30,686425,Global
2019-01-31,657261,Global
2019-02-01,598562,Global
2019-02-02,411720,Global
2019-02-03,427624,Global
2019-02-04,585400,Global
2019-02-05,620451,Global
2019-02-06,688908,Global
2019-02-07,707923,Global
2019-02-08,681628,Global
2019-02-09,494007,Global
2019-02-10,531031,Global
2019-02-11,751170,Global
2019-02-12,791335,Global
2019-02-13,791434,Global
2019-02-14,764357,Global
2019-02-15,717386,Global
2019-02-16,509042,Global
2019-02-17,553489,Global
2019-02-18,762830,Global
2019-02-19,805919,Global
2019-02-20,816235,Global
2019-02-21,812004,Global
2019-02-22,758498,Global
2019-02-23,528408,Global
2019-02-24,567601,Global
2019-02-25,808335,Global
2019-02-26,841592,Global
2019-02-27,827755,Global
2019-02-28,821866,Global
2019-03-01,746611,Global
2019-03-02,536935,Global
2019-03-03,577683,Global
2019-03-04,804129,Global
2019-03-05,827315,Global
2019-03-06,822319,Global
2019-03-07,820574,Global
2019-03-08,740060,Global
2019-03-09,535051,Global
2019-03-10,571118,Global
2019-03-11,818990,Global
2019-03-12,821786,Global
2019-03-13,785631,Global
2019-03-14,827421,Global
2019-03-15,761072,Global
2019-03-16,515114,Global
2019-03-17,560677,Global
2019-03-18,814841,Global
2019-03-19,847845,Global
2019-03-20,842828,Global
2019-03-21,825236,Global
2019-03-22,774430,Global
2019-03-23,536909,Global
2019-03-24,574706,Global
2019-03-25,821501,Global
2019-03-26,861492,Global
2019-03-27,851353,Global
2019-03-28,825788,Global
2019-03-29,779371,Global
2019-03-30,530538,Global
2019-03-31,565483,Global
2019-04-01,803503,Global
2019-04-02,860414,Global
2019-04-03,856640,Global
2019-04-04,839646,Global
2019-04-05,740900,Global
2019-04-06,525450,Global
2019-04-07,572654,Global
2019-04-08,845284,Global
2019-04-09,795000,Global
2019-04-10,869326,Global
2019-04-11,849971,Global
2019-04-12,781400,Global
2019-04-13,541811,Global
2019-04-14,583625,Global
2019-04-15,804562,Global
2019-04-16,838878,Global
2019-04-17,818867,Global
2019-04-18,785464,Global
2019-04-19,679543,Global
2019-04-20,511297,Global
2019-04-21,512387,Global
2019-04-22,726767,Global
2019-04-23,848828,Global
2019-04-24,841499,Global
2019-04-25,831773,Global
2019-04-26,764064,Global
2019-04-27,538654,Global
2019-04-28,592896,Global
2019-04-29,795081,Global
2019-04-30,809146,Global
2019-05-01,691753,Global
2019-05-02,769795,Global
2019-05-03,726506,Global
2019-05-04,532731,Global
2019-05-05,592240,Global
2019-05-06,793316,Global
2019-05-07,829178,Global
2019-05-08,716032,Global
2019-05-09,809975,Global
2019-05-10,765520,Global
2019-05-11,524198,Global
2019-05-12,544920,Global
2019-05-13,795373,Global
2019-05-14,842043,Global
2019-05-15,830882,Global
2019-05-16,830134,Global
2019-05-17,749207,Global
2019-05-18,505096,Global
2019-05-19,548808,Global
2019-05-20,786839,Global
2019-05-21,834608,Global
2019-05-22,825394,Global
2019-05-23,815452,Global
2019-05-24,751182,Global
2019-05-25,499558,Global
2019-05-26,525552,Global
2019-05-27,735293,Global
2019-05-28,825756,Global
2019-05-29,795449,Global
2019-05-30,791545,Global
2019-05-31,752324,Global
2019-06-01,505206,Global
2019-06-02,530738,Global
2019-06-03,788071,Global
2019-06-04,823246,Global
2019-06-05,808378,Global
2019-06-06,799907,Global
2019-06-07,700648,Global
2019-06-08,483706,Global
2019-06-09,517998,Global
2019-06-10,763014,Global
2019-06-11,814886,Global
2019-06-12,811895,Global
2019-06-13,808025,Global
2019-06-14,727218,Global
2019-06-15,487126,Global
2019-06-16,506950,Global
2019-06-17,767023,Global
2019-06-18,802495,Global
2019-06-19,794158,Global
2019-06-20,776223,Global
2019-06-21,717334,Global
2019-06-22,479983,Global
2019-06-23,510555,Global
2019-06-24,763631,Global
2019-06-25,803060,Global
2019-06-26,793156,Global
2019-06-27,778853,Global
2019-06-28,709346,Global
2019-06-29,463017,Global
2019-06-30,477553,Global
2019-07-01,734690,Global
2019-07-02,765942,Global
2019-07-03,771356,Global
2019-07-04,694066,Global
2019-07-05,662112,Global
2019-07-06,463714,Global
2019-07-07,490416,Global
2019-07-08,757583,Global
2019-07-09,797077,Global
2019-07-10,789896,Global
2019-07-11,798693,Global
2019-07-12,738013,Global
2019-07-13,480842,Global
2019-07-14,506041,Global
2019-07-15,768492,Global
2019-07-16,795086,Global
