date,dofw,name,type
2018-01-01,Monday,New Year's Day,National Holiday
2018-02-12,Monday,Carnival Monday,Government Holiday
2018-02-13,Tuesday,Carnival Tuesday,Government Holiday
2018-02-14,Wednesday,Carnival end (until 2pm),Government Holiday
2018-03-30,Friday,Good Friday,National Holiday
2018-04-21,Saturday,Tiradentes Day,National Holiday
2018-05-01,Tuesday,Labor Day / May Day,National Holiday
2018-05-31,Thursday,Corpus Christi,Government Holiday
2018-09-07,Friday,Independence Day,National Holiday
2018-10-12,Friday,Our Lady of Aparecida / Children's Day,National Holiday
2018-10-28,Sunday,Public Service Holiday,Government Holiday
2018-11-02,Friday,All Souls' Day,National Holiday
2018-11-15,Thursday,Republic Proclamation Day,National Holiday
2018-12-24,Monday,Christmas Eve (from 2pm),Government Holiday
2018-12-25,Tuesday,Christmas Day,National Holiday
2018-12-31,Monday,New Year's Eve (from 2pm),Government Holiday
2019-01-01,Tuesday,New Year's Day,National Holiday
2019-03-04,Monday,Carnival Monday,Government Holiday
2019-03-05,Tuesday,Carnival Tuesday,Government Holiday
2019-03-06,Wednesday,Carnival end (until 2pm),Government Holiday
2019-04-19,Friday,Good Friday,National Holiday
2019-04-21,Sunday,Tiradentes Day,National Holiday
2019-05-01,Wednesday,Labor Day / May Day,National Holiday
2019-06-20,Thursday,Corpus Christi,Government Holiday
2019-09-07,Saturday,Independence Day,National Holiday
2019-10-12,Saturday,Our Lady of Aparecida / Children's Day,National Holiday
2019-10-28,Monday,Public Service Holiday,Government Holiday
2019-11-02,Saturday,All Souls' Day,National Holiday
2019-11-15,Friday,Republic Proclamation Day,National Holiday
2019-12-24,Tuesday,Christmas Eve (from 2pm),Government Holiday
2019-12-25,Wednesday,Christmas Day,National Holiday
2019-12-31,Tuesday,New Year's Eve (from 2pm),Government Holiday
2020-01-01,Wednesday,New Year's Day,National Holiday
2020-02-24,Monday,Carnival Monday,Government Holiday
2020-02-25,Tuesday,Carnival Tuesday,Government Holiday
2020-02-26,Wednesday,Carnival end (until 2pm),Government Holiday
2020-04-10,Friday,Good Friday,National Holiday
2020-04-21,Tuesday,Tiradentes Day,National Holiday
2020-05-01,Friday,Labor Day / May Day,National Holiday
2020-06-11,Thursday,Corpus Christi,Government Holiday
2020-09-07,Monday,Independence Day,National Holiday
2020-10-12,Monday,Our Lady of Aparecida / Children's Day,National Holiday
2020-10-28,Wednesday,Public Service Holiday,Government Holiday
2020-11-02,Monday,All Souls' Day,National Holiday
2020-11-15,Sunday,Republic Proclamation Day,National Holiday
2020-12-24,Thursday,Christmas Eve (from 2pm),Government Holiday
2020-12-25,Friday,Christmas Day,National Holiday
2020-12-31,Thursday,New Year's Eve (from 2pm),Government Holiday
