date,dofw,name,type
2017-01-01,Sunday,New Year's Day,National holiday
2017-04-14,Friday,Good Friday,"National holiday, Christian"
2017-04-17,Monday,Easter Monday,"National holiday, Christian"
2017-05-01,Monday,May Day,National holiday
2017-05-25,Thursday,Ascension Day,"National holiday, Christian"
2017-06-05,Monday,Whit Monday,"National holiday, Christian"
2017-10-03,Tuesday,Day of German Unity,National holiday
2017-10-31,Tuesday,Reformation Day,National holiday
2017-12-25,Monday,Christmas Day,"National holiday, Christian"
2017-12-26,Tuesday,Boxing Day,"National holiday, Christian"
2018-01-01,Monday,New Year's Day,National holiday
2018-03-30,Friday,Good Friday,"National holiday, Christian"
2018-04-02,Monday,Easter Monday,"National holiday, Christian"
2018-05-01,Tuesday,May Day,National holiday
2018-05-10,Thursday,Ascension Day,"National holiday, Christian"
2018-05-21,Monday,Whit Monday,"National holiday, Christian"
2018-10-03,Wednesday,Day of German Unity,National holiday
2018-12-25,Tuesday,Christmas Day,"National holiday, Christian"
2018-12-26,Wednesday,Boxing Day,"National holiday, Christian"
2019-01-01,Tuesday,New Year's Day,National holiday
2019-04-19,Friday,Good Friday,"National holiday, Christian"
2019-04-22,Monday,Easter Monday,"National holiday, Christian"
2019-05-01,Wednesday,May Day,National holiday
2019-05-30,Thursday,Ascension Day,"National holiday, Christian"
2019-06-10,Monday,Whit Monday,"National holiday, Christian"
2019-10-03,Thursday,Day of German Unity,National holiday
2019-12-25,Wednesday,Christmas Day,"National holiday, Christian"
2019-12-26,Thursday,Boxing Day,"National holiday, Christian"
2020-01-01,Wednesday,New Year's Day,National holiday
2020-04-10,Friday,Good Friday,"National holiday, Christian"
2020-04-13,Monday,Easter Monday,"National holiday, Christian"
2020-05-01,Friday,May Day,National holiday
2020-05-21,Thursday,Ascension Day,"National holiday, Christian"
2020-06-01,Monday,Whit Monday,"National holiday, Christian"
2020-10-03,Saturday,Day of German Unity,National holiday
2020-12-25,Friday,Christmas Day,"National holiday, Christian"
2020-12-26,Saturday,Boxing Day,"National holiday, Christian"
