date,dofw,name,type
2015-01-01,Thursday,New Year’s Day,Restricted Holiday
2015-01-04,Sunday,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
2015-01-26,Monday,Republic Day,Gazetted Holiday
2015-02-17,Tuesday,Maha Shivaratri/Shivaratri,Gazetted Holiday
2015-03-28,Saturday,Rama Navami,Gazetted Holiday
2015-04-02,Thursday,Mahavir Jayanti,Gazetted Holiday
2015-04-03,Friday,Good Friday,Gazetted Holiday
2015-05-04,Monday,Buddha Purnima/Vesak,Gazetted Holiday
2015-08-15,Saturday,Independence Day,Gazetted Holiday
2015-09-05,Saturday,Janmashtami,Gazetted Holiday
2015-10-02,Friday,Mahatma Gandhi Jayanti,Gazetted Holiday
2015-10-22,Thursday,Dussehra,Gazetted Holiday
2015-10-24,Saturday,Muharram/Ashura,Gazetted Holiday
2015-11-11,Wednesday,Diwali/Deepavali,Gazetted Holiday
2015-11-25,Wednesday,Guru Nanak Jayanti,Gazetted Holiday
2015-12-25,Friday,Christmas,Gazetted Holiday
2016-01-01,Friday,New Year’s Day,Restricted Holiday
2016-01-26,Tuesday,Republic Day,Gazetted Holiday
2016-03-07,Monday,Maha Shivaratri/Shivaratri,Gazetted Holiday
2016-03-25,Friday,Good Friday,Gazetted Holiday
2016-04-15,Friday,Rama Navami,Gazetted Holiday
2016-04-20,Wednesday,Mahavir Jayanti,Gazetted Holiday
2016-05-21,Saturday,Buddha Purnima/Vesak,Gazetted Holiday
2016-08-15,Monday,Independence Day,Gazetted Holiday
2016-08-25,Thursday,Janmashtami,Gazetted Holiday
2016-09-13,Tuesday,Bakr Id/Eid ul-Adha,Gazetted Holiday
2016-10-02,Sunday,Mahatma Gandhi Jayanti,Gazetted Holiday
2016-10-11,Tuesday,Dussehra,Gazetted Holiday
2016-10-12,Wednesday,Muharram/Ashura,Gazetted Holiday
2016-10-30,Sunday,Diwali/Deepavali,Gazetted Holiday
2016-11-14,Monday,Guru Nanak Jayanti,Gazetted Holiday
2016-12-13,Tuesday,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
2016-12-25,Sunday,Christmas,Gazetted Holiday
2017-01-01,Sunday,Sunday,Restricted Holiday
2017-01-26,Thursday,Republic Day,Gazetted Holiday
2017-02-24,Friday,Maha Shivaratri/Shivaratri,Gazetted Holiday
2017-04-04,Tuesday,Rama Navami,Gazetted Holiday
2017-04-09,Sunday,Mahavir Jayanti,Gazetted Holiday
2017-04-14,Friday,Good Friday,Gazetted Holiday
2017-05-10,Wednesday,Buddha Purnima/Vesak,Gazetted Holiday
2017-08-15,Tuesday,Independence Day,Gazetted Holiday
2017-08-15,Tuesday,Janmashtami,Gazetted Holiday
2017-09-02,Saturday,Bakr Id/Eid ul-Adha,Gazetted Holiday
2017-09-30,Saturday,Dussehra,Gazetted Holiday
2017-10-01,Sunday,Muharram/Ashura,Gazetted Holiday
2017-10-02,Monday,Mahatma Gandhi Jayanti,Gazetted Holiday
2017-10-19,Thursday,Diwali/Deepavali,Gazetted Holiday
2017-11-04,Saturday,Guru Nanak Jayanti,Gazetted Holiday
2017-12-02,Saturday,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
2017-12-25,Monday,Christmas,Gazetted Holiday
2018-01-01,Monday,New Year’s Day,Restricted Holiday
2018-01-26,Friday,Republic Day,Gazetted Holiday
2018-02-13,Tuesday,Maha Shivaratri/Shivaratri,Gazetted Holiday
2018-03-29,Thursday,Mahavir Jayanti,Gazetted Holiday
2018-03-30,Friday,Good Friday,Gazetted Holiday
2018-04-14,Saturday,Ambedkar Jayanti,Gazetted Holiday
2018-04-30,Monday,Buddha Purnima/Vesak,Gazetted Holiday
2018-06-16,Saturday,Ramzan Id/Eid-ul-Fitar,Gazetted Holiday
2018-08-15,Wednesday,Independence Day,Gazetted Holiday
2018-08-22,Wednesday,Bakr Id/Eid ul-Adha,Gazetted Holiday
2018-09-03,Monday,Janmashtami,Gazetted Holiday
2018-09-21,Friday,Muharram/Ashura,Gazetted Holiday
2018-10-02,Tuesday,Mahatma Gandhi Jayanti,Gazetted Holiday
2018-10-19,Friday,Dussehra,Gazetted Holiday
2018-11-07,Wednesday,Diwali/Deepavali,Gazetted Holiday
2018-11-21,Wednesday,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
2018-11-23,Friday,Guru Nanak Jayanti,Gazetted Holiday
2018-12-25,Tuesday,Christmas,Gazetted Holiday
2019-01-01,Tuesday,New Year’s Day,Restricted Holiday
2019-01-13,Sunday,Lohri,Restricted Holiday
2019-01-26,Saturday,Republic Day,Gazetted Holiday
2019-03-04,Monday,Maha Shivaratri/Shivaratri,Gazetted Holiday
2019-03-21,Thursday,Dolyatra,Restricted Holiday
2019-04-14,Sunday,Ambedkar Jayanti,Gazetted Holiday
2019-04-17,Wednesday,Mahavir Jayanti,Gazetted Holiday
2019-04-19,Friday,Good Friday,Gazetted Holiday
