date,dofw,name,type
2017-01-01,Sunday,New Year's Day,National holiday
2017-01-06,Friday,Epiphany,National holiday
2017-04-16,Sunday,Easter Sunday,National holiday
2017-04-17,Monday,Easter Monday,National holiday
2017-04-25,Tuesday,Liberation Day,National holiday
2017-05-01,Monday,Labor Day / May Day,National holiday
2017-06-02,Friday,Republic Day,National holiday
2017-08-15,Tuesday,Assumption of Mary,National holiday
2017-11-01,Wednesday,All Saints' Day,National holiday
2017-12-08,Friday,Feast of the Immaculate Conception,National holiday
2017-12-25,Monday,Christmas Day,National holiday
2017-12-26,Tuesday,St. Stephen's Day,National holiday
2018-01-01,Monday,New Year's Day,National holiday
2018-01-06,Saturday,Epiphany,National holiday
2018-04-01,Sunday,Easter Sunday,National holiday
2018-04-02,Monday,Easter Monday,National holiday
2018-04-25,Wednesday,Liberation Day,National holiday
2018-05-01,Tuesday,Labor Day / May Day,National holiday
2018-06-02,Saturday,Republic Day,National holiday
2018-08-15,Wednesday,Assumption of Mary,National holiday
2018-11-01,Thursday,All Saints' Day,National holiday
2018-12-08,Saturday,Feast of the Immaculate Conception,National holiday
2018-12-25,Tuesday,Christmas Day,National holiday
2018-12-26,Wednesday,St. Stephen's Day,National holiday
2019-01-01,Tuesday,New Year's Day,National holiday
2019-01-06,Sunday,Epiphany,National holiday
2019-04-21,Sunday,Easter Sunday,National holiday
2019-04-22,Monday,Easter Monday,National holiday
2019-04-25,Thursday,Liberation Day,National holiday
2019-05-01,Wednesday,Labor Day / May Day,National holiday
2019-06-02,Sunday,Republic Day,National holiday
2019-08-15,Thursday,Assumption of Mary,National holiday
2019-11-01,Friday,All Saints' Day,National holiday
2019-12-08,Sunday,Feast of the Immaculate Conception,National holiday
2019-12-25,Wednesday,Christmas Day,National holiday
2019-12-26,Thursday,St. Stephen's Day,National holiday
2020-01-01,Wednesday,New Year's Day,National holiday
2020-01-06,Monday,Epiphany,National holiday
2020-04-12,Sunday,Easter Sunday,National holiday
2020-04-13,Monday,Easter Monday,National holiday
2020-04-25,Saturday,Liberation Day,National holiday
2020-05-01,Friday,Labor Day / May Day,National holiday
2020-06-02,Tuesday,Republic Day,National holiday
2020-08-15,Saturday,Assumption of Mary,National holiday
2020-11-01,Sunday,All Saints' Day,National holiday
2020-12-08,Tuesday,Feast of the Immaculate Conception,National holiday
2020-12-25,Friday,Christmas Day,National holiday
2020-12-26,Saturday,St. Stephen's Day,National holiday
