date,dofw,name,type
2017-01-01,Friday,New Year's Day,Public Holiday
2017-02-12,Friday,Seollal Holiday,Public Holiday
2017-02-12,Friday,Seollal,Public Holiday
2017-02-13,Saturday,Seollal Holiday,Public Holiday
2017-03-01,Monday,Independence Movement Day,National holiday
2017-05-05,Wednesday,Children's Day,Public Holiday
2017-05-19,Wednesday,Buddha's Birthday,Public Holiday
2017-06-06,Sunday,Memorial Day,Public Holiday
2017-08-15,Sunday,Liberation Day,National holiday
2017-08-16,Monday,Day off for Liberation Day,National holiday
2017-09-20,Monday,Chuseok Holiday,Public Holiday
2017-09-21,Tuesday,Chuseok,Public Holiday
2017-09-22,Wednesday,Chuseok Holiday,Public Holiday
2017-10-03,Sunday,National Foundation Day,National holiday
2017-10-04,Monday,Day off for National Foundation Day,National holiday
2017-10-09,Saturday,Hangeul Proclamation Day,National holiday
2017-10-11,Monday,Day off for Hangeul Proclamation Day,National holiday
2017-12-25,Saturday,Christmas Day,Public Holiday
2018-01-01,Monday,New Year's Day,Public Holiday
2018-02-16,Friday,Seollal Holiday,Public Holiday
2018-02-16,Friday,Seollal,Public Holiday
2018-02-17,Saturday,Seollal Holiday,Public Holiday
2018-03-01,Thursday,Independence Movement Day,National holiday
2018-05-05,Saturday,Children's Day,Public Holiday
2018-05-07,Monday,Children's Day observed,Public Holiday
2018-05-22,Tuesday,Buddha's Birthday,Public Holiday
2018-06-06,Wednesday,Memorial Day,Public Holiday
2018-06-13,Wednesday,Local Election Day,Public Holiday
2018-08-15,Wednesday,Liberation Day,National holiday
2018-09-23,Sunday,Chuseok Holiday,Public Holiday
2018-09-24,Monday,Chuseok,Public Holiday
2018-09-25,Tuesday,Chuseok Holiday,Public Holiday
2018-09-26,Wednesday,Chuseok Holiday,Public Holiday
2018-10-03,Wednesday,National Foundation Day,National holiday
2018-10-09,Tuesday,Hangeul Proclamation Day,National holiday
2018-12-25,Tuesday,Christmas Day,Public Holiday
2019-01-01,Tuesday,New Year's Day,Public Holiday
2019-02-05,Tuesday,Seollal Holiday,Public Holiday
2019-02-05,Tuesday,Seollal,Public Holiday
2019-02-06,Wednesday,Seollal Holiday,Public Holiday
2019-03-01,Friday,Independence Movement Day,National holiday
2019-05-05,Sunday,Children's Day,Public Holiday
2019-05-06,Monday,Children's Day observed,Public Holiday
2019-05-12,Sunday,Buddha's Birthday,Public Holiday
2019-06-06,Thursday,Memorial Day,Public Holiday
2019-08-15,Thursday,Liberation Day,National holiday
2019-09-12,Thursday,Chuseok Holiday,Public Holiday
2019-09-13,Friday,Chuseok,Public Holiday
2019-09-14,Saturday,Chuseok Holiday,Public Holiday
2019-10-03,Thursday,National Foundation Day,National holiday
2019-10-09,Wednesday,Hangeul Proclamation Day,National holiday
2019-12-25,Wednesday,Christmas Day,Public Holiday
2020-01-01,Wednesday,New Year's Day,Public Holiday
2020-01-25,Saturday,Seollal Holiday,Public Holiday
2020-01-25,Saturday,Seollal,Public Holiday
2020-01-27,Monday,Seollal Holiday,Public Holiday
2020-03-01,Sunday,Independence Movement Day,National holiday
2020-04-15,Wednesday,National Assembly Election Day,Public Holiday
2020-04-30,Thursday,Buddha's Birthday,Public Holiday
2020-05-05,Tuesday,Children's Day,Public Holiday
2020-06-06,Saturday,Memorial Day,Public Holiday
2020-08-15,Saturday,Liberation Day,National holiday
2020-08-17,Monday,Temporary Holiday,Public Holiday
2020-09-30,Wednesday,Chuseok Holiday,Public Holiday
2020-10-01,Thursday,Chuseok,Public Holiday
2020-10-02,Friday,Chuseok Holiday,Public Holiday
2020-10-03,Saturday,National Foundation Day,National holiday
2020-10-09,Friday,Hangeul Proclamation Day,National holiday
2020-12-25,Friday,Christmas Day,Public Holiday
