date,dofw,name,type
2018-01-01,Monday,New Year's Day,Public holiday
2018-01-06,Saturday,Epiphany,Public holiday
2018-03-30,Friday,Good Friday,Public holiday
2018-04-01,Sunday,Easter Sunday,Public holiday
2018-04-02,Monday,Easter Monday,Public holiday
2018-05-01,Tuesday,May 1st,Public holiday
2018-05-10,Thursday,Ascension Day,Public holiday
2018-05-20,Sunday,Whit Sunday,Public holiday
2018-06-06,Wednesday,National day,Public holiday
2018-06-23,Saturday,Midsummer Day,Public holiday
2018-11-03,Saturday,All Saints' Day,Public holiday
2018-12-25,Tuesday,Christmas Day,Public holiday
2018-12-26,Wednesday,Boxing Day,Public holiday
2019-01-01,Tuesday,New Year's Day,Public holiday
2019-01-06,Sunday,Epiphany,Public holiday
2019-04-19,Friday,Good Friday,Public holiday
2019-04-21,Sunday,Easter Sunday,Public holiday
2019-04-22,Monday,Easter Monday,Public holiday
2019-05-01,Wednesday,May 1st,Public holiday
2019-05-30,Thursday,Ascension Day,Public holiday
2019-06-06,Thursday,National day,Public holiday
2019-06-09,Sunday,Whit Sunday,Public holiday
2019-06-22,Saturday,Midsummer Day,Public holiday
2019-11-02,Saturday,All Saints' Day,Public holiday
2019-12-25,Wednesday,Christmas Day,Public holiday
2019-12-26,Thursday,Boxing Day,Public holiday
2020-01-01,Wednesday,New Year's Day,Public holiday
2020-01-06,Monday,Epiphany,Public holiday
2020-04-10,Friday,Good Friday,Public holiday
2020-04-12,Sunday,Easter Sunday,Public holiday
2020-04-13,Monday,Easter Monday,Public holiday
2020-05-01,Friday,May 1st,Public holiday
2020-05-21,Thursday,Ascension Day,Public holiday
2020-05-31,Sunday,Whit Sunday,Public holiday
2020-06-06,Saturday,National day,Public holiday
2020-06-20,Saturday,Midsummer Day,Public holiday
2020-10-31,Saturday,All Saints' Day,Public holiday
2020-12-25,Friday,Christmas Day,Public holiday
2020-12-26,Saturday,Boxing Day,Public holiday
