date,dofw,name,type
2015-01-01,Thursday,New Year's Day,Federal Holiday
2015-01-19,Monday,Martin Luther King Jr. Day,Federal Holiday
2015-02-16,Monday,Presidents' Day,Federal Holiday
2015-05-25,Monday,Memorial Day,Federal Holiday
2015-07-03,Friday,Day off for Independence Day,Federal Holiday
2015-07-04,Saturday,Independence Day,Federal Holiday
2015-09-07,Monday,Labor Day,Federal Holiday
2015-10-12,Monday,Columbus Day,Federal Holiday
2015-11-11,Wednesday,Veterans Day,Federal Holiday
2015-11-26,Thursday,Thanksgiving Day,Federal Holiday
2015-12-25,Friday,Christmas Day,Federal Holiday
2015-12-24,Friday,Day off for Christmas Day,Federal Holiday
2015-12-25,Saturday,Christmas Day,Federal Holiday
2015-12-31,Friday,Day off for New Year's Day,Federal Holiday
2016-01-01,Friday,New Year's Day,Federal Holiday
2016-01-18,Monday,Martin Luther King Jr. Day,Federal Holiday
2016-02-15,Monday,Presidents' Day,Federal Holiday
2016-05-30,Monday,Memorial Day,Federal Holiday
2016-07-04,Monday,Independence Day,Federal Holiday
2016-09-05,Monday,Labor Day,Federal Holiday
2016-10-10,Monday,Columbus Day,Federal Holiday
2016-11-11,Friday,Veterans Day,Federal Holiday
2016-11-24,Thursday,Thanksgiving Day,Federal Holiday
2016-12-25,Sunday,Christmas Day,Federal Holiday
2016-12-26,Monday,Day off for Christmas Day,Federal Holiday
2017-01-01,Sunday,New Year's Day,Federal Holiday
2017-01-02,Monday,Day off for New Year's Day,Federal Holiday
2017-01-16,Monday,Martin Luther King Jr. Day,Federal Holiday
2017-01-20,Friday,Inauguration Day,Federal Holiday
2017-02-20,Monday,Presidents' Day,Federal Holiday
2017-05-29,Monday,Memorial Day,Federal Holiday
2017-07-04,Tuesday,Independence Day,Federal Holiday
2017-09-04,Monday,Labor Day,Federal Holiday
2017-10-09,Monday,Columbus Day,Federal Holiday
2017-11-10,Friday,Day off for Veterans Day,Federal Holiday
2017-11-11,Saturday,Veterans Day,Federal Holiday
2017-11-23,Thursday,Thanksgiving Day,Federal Holiday
2017-12-25,Monday,Christmas Day,Federal Holiday
2018-01-01,Monday,New Year's Day,Federal Holiday
2018-01-15,Monday,Martin Luther King Jr. Day,Federal Holiday
2018-02-19,Monday,Presidents' Day,Federal Holiday
2018-05-28,Monday,Memorial Day,Federal Holiday
2018-07-04,Wednesday,Independence Day,Federal Holiday
2018-09-03,Monday,Labor Day,Federal Holiday
2018-10-08,Monday,Columbus Day,Federal Holiday
2018-11-11,Sunday,Veterans Day,Federal Holiday
2018-11-12,Monday,Day off for Veterans Day,Federal Holiday
2018-11-22,Thursday,Thanksgiving Day,Federal Holiday
2018-12-24,Monday,Christmas Eve,Federal Holiday
2018-12-25,Tuesday,Christmas Day,Federal Holiday
2019-01-01,Tuesday,New Year's Day,Federal Holiday
2019-01-21,Monday,Martin Luther King Jr. Day,Federal Holiday
2019-02-18,Monday,Presidents' Day,Federal Holiday
2019-05-27,Monday,Memorial Day,Federal Holiday
2019-07-04,Thursday,Independence Day,Federal Holiday
2019-09-02,Monday,Labor Day,Federal Holiday
2019-10-14,Monday,Columbus Day,Federal Holiday
2019-11-11,Monday,Veterans Day,Federal Holiday
2019-11-28,Thursday,Thanksgiving Day,Federal Holiday
2019-12-24,Tuesday,Christmas Eve,Federal Holiday
2019-12-25,Wednesday,Christmas Day,Federal Holiday
2020-01-01,Wednesday,New Year's Day,Federal Holiday
2020-01-20,Monday,Martin Luther King Jr. Day,Federal Holiday
2020-02-17,Monday,Presidents' Day,Federal Holiday
2020-05-25,Monday,Memorial Day,Federal Holiday
2020-07-03,Friday,Day off for Independence Day,Federal Holiday
2020-07-04,Saturday,Independence Day,Federal Holiday
2020-09-07,Monday,Labor Day,Federal Holiday
2020-10-12,Monday,Columbus Day,Federal Holiday
2020-11-11,Wednesday,Veterans Day,Federal Holiday
2020-11-26,Thursday,Thanksgiving Day,Federal Holiday
2020-12-24,Thursday,Christmas Eve,Federal Holiday
2020-12-25,Friday,Christmas Day,Federal Holiday
