date,location,pushes
2018-12-31,"Seattle, WA",452
2019-01-01,"Seattle, WA",1282
2019-01-02,"Seattle, WA",2443
2019-01-03,"Seattle, WA",2606
2019-01-04,"Seattle, WA",2585
2019-01-05,"Seattle, WA",1251
2019-01-06,"Seattle, WA",1428
2019-01-07,"Seattle, WA",2332
2019-01-08,"Seattle, WA",2647
2019-01-09,"Seattle, WA",2782
2019-01-10,"Seattle, WA",2555
2019-01-11,"Seattle, WA",2451
2019-01-12,"Seattle, WA",1384
2019-01-13,"Seattle, WA",1391
2019-01-14,"Seattle, WA",2850
2019-01-15,"Seattle, WA",2850
2019-01-16,"Seattle, WA",2895
2019-01-17,"Seattle, WA",2853
2019-01-18,"Seattle, WA",2532
2019-01-19,"Seattle, WA",1332
2019-01-20,"Seattle, WA",1253
2019-01-21,"Seattle, WA",1861
2019-01-22,"Seattle, WA",2459
2019-01-23,"Seattle, WA",2525
2019-01-24,"Seattle, WA",2721
2019-01-25,"Seattle, WA",2406
2019-01-26,"Seattle, WA",1408
2019-01-27,"Seattle, WA",1630
2019-01-28,"Seattle, WA",2670
2019-01-29,"Seattle, WA",3234
2019-01-30,"Seattle, WA",2677
2019-01-31,"Seattle, WA",2572
2019-02-01,"Seattle, WA",2334
2019-02-02,"Seattle, WA",1268
2019-02-03,"Seattle, WA",1491
2019-02-04,"Seattle, WA",2504
2019-02-05,"Seattle, WA",2629
2019-02-06,"Seattle, WA",2999
2019-02-07,"Seattle, WA",2928
2019-02-08,"Seattle, WA",2695
2019-02-09,"Seattle, WA",1839
2019-02-10,"Seattle, WA",2586
2019-02-11,"Seattle, WA",3285
2019-02-12,"Seattle, WA",3290
2019-02-13,"Seattle, WA",3191
2019-02-14,"Seattle, WA",2856
2019-02-15,"Seattle, WA",2632
2019-02-16,"Seattle, WA",1437
2019-02-17,"Seattle, WA",1805
2019-02-18,"Seattle, WA",2239
2019-02-19,"Seattle, WA",2801
2019-02-20,"Seattle, WA",3134
2019-02-21,"Seattle, WA",2909
2019-02-22,"Seattle, WA",2687
2019-02-23,"Seattle, WA",1647
2019-02-24,"Seattle, WA",1911
2019-02-25,"Seattle, WA",3105
2019-02-26,"Seattle, WA",3122
2019-02-27,"Seattle, WA",3198
2019-02-28,"Seattle, WA",3037
2019-03-01,"Seattle, WA",2663
2019-03-02,"Seattle, WA",1608
2019-03-03,"Seattle, WA",1773
2019-03-04,"Seattle, WA",2902
2019-03-05,"Seattle, WA",3031
2019-03-06,"Seattle, WA",3203
2019-03-07,"Seattle, WA",3323
2019-03-08,"Seattle, WA",3014
2019-03-09,"Seattle, WA",1786
2019-03-10,"Seattle, WA",1759
2019-03-11,"Seattle, WA",3226
2019-03-12,"Seattle, WA",3117
2019-03-13,"Seattle, WA",3260
2019-03-14,"Seattle, WA",2963
2019-03-15,"Seattle, WA",2863
2019-03-16,"Seattle, WA",1395
2019-03-17,"Seattle, WA",1509
2019-03-18,"Seattle, WA",2886
2019-03-19,"Seattle, WA",2812
2019-03-20,"Seattle, WA",2461
2019-03-21,"Seattle, WA",2650
2019-03-22,"Seattle, WA",2411
2019-03-23,"Seattle, WA",1519
2019-03-24,"Seattle, WA",1494
2019-03-25,"Seattle, WA",2740
2019-03-26,"Seattle, WA",3035
2019-03-27,"Seattle, WA",2809
2019-03-28,"Seattle, WA",2708
2019-03-29,"Seattle, WA",2569
2019-03-30,"Seattle, WA",1349
2019-03-31,"Seattle, WA",1685
2019-04-01,"Seattle, WA",2789
2019-04-02,"Seattle, WA",2945
2019-04-03,"Seattle, WA",2862
2019-04-04,"Seattle, WA",3049
2019-04-05,"Seattle, WA",2757
2019-04-06,"Seattle, WA",1744
2019-04-07,"Seattle, WA",1838
